Tarih;Saat;Tüketim Miktar?(MWh)
14.06.2025;16:00;42.816,79
14.06.2025;17:00;42.721,99
14.06.2025;18:00;42.619,55
14.06.2025;19:00;42.929,01
14.06.2025;20:00;43.452,78
14.06.2025;21:00;43.516,55
14.06.2025;22:00;41.821,09
14.06.2025;23:00;39.684,83
15.06.2025;00:00;37.343,91
15.06.2025;01:00;35.506,59
15.06.2025;02:00;33.981,53
15.06.2025;03:00;32.974,12
15.06.2025;04:00;32.269,81
15.06.2025;05:00;30.871,06
15.06.2025;06:00;29.858,23
15.06.2025;07:00;29.864,46
15.06.2025;08:00;31.632,59
15.06.2025;09:00;33.657,01
15.06.2025;10:00;35.586,37
15.06.2025;11:00;36.513,68
15.06.2025;12:00;36.762,24
15.06.2025;13:00;37.333,45
15.06.2025;14:00;37.801,42
15.06.2025;15:00;37.838,92
15.06.2025;16:00;37.665,35
15.06.2025;17:00;37.578,58
15.06.2025;18:00;38.015,59
15.06.2025;19:00;38.553,09
15.06.2025;20:00;40.031,61
15.06.2025;21:00;40.144,80
15.06.2025;22:00;38.812,96
15.06.2025;23:00;37.154,20
16.06.2025;00:00;35.613,04
16.06.2025;01:00;33.894,37
16.06.2025;02:00;32.542,22
16.06.2025;03:00;31.621,29
16.06.2025;04:00;31.118,95
16.06.2025;05:00;30.145,88
16.06.2025;06:00;30.334,60
16.06.2025;07:00;32.967,95
16.06.2025;08:00;39.274,14
16.06.2025;09:00;42.555,96
16.06.2025;10:00;44.013,88
16.06.2025;11:00;45.338,00
16.06.2025;12:00;44.177,57
16.06.2025;13:00;45.577,37
16.06.2025;14:00;46.584,47
16.06.2025;15:00;46.137,25
16.06.2025;16:00;46.060,84
16.06.2025;17:00;45.456,95
16.06.2025;18:00;44.535,44
16.06.2025;19:00;44.221,82
16.06.2025;20:00;45.397,55
16.06.2025;21:00;45.378,88
16.06.2025;22:00;43.534,79
16.06.2025;23:00;41.466,02
17.06.2025;00:00;38.960,96
17.06.2025;01:00;37.095,82
17.06.2025;02:00;35.648,66
17.06.2025;03:00;34.528,64
17.06.2025;04:00;34.289,51
17.06.2025;05:00;33.346,86
17.06.2025;06:00;33.085,78
17.06.2025;07:00;34.996,82
17.06.2025;08:00;40.793,89
17.06.2025;09:00;43.463,76
17.06.2025;10:00;44.910,21
17.06.2025;11:00;45.734,62
17.06.2025;12:00;44.559,05
17.06.2025;13:00;46.079,87
17.06.2025;14:00;47.624,74
17.06.2025;15:00;46.523,79
17.06.2025;16:00;46.738,43
17.06.2025;17:00;46.172,99
17.06.2025;18:00;45.076,01
17.06.2025;19:00;44.735,31
17.06.2025;20:00;45.807,62
17.06.2025;21:00;45.711,34
17.06.2025;22:00;43.866,96
17.06.2025;23:00;41.680,44
18.06.2025;00:00;39.205,69
18.06.2025;01:00;37.377,81
18.06.2025;02:00;35.970,76
18.06.2025;03:00;34.932,78
18.06.2025;04:00;34.411,79
18.06.2025;05:00;33.425,25
18.06.2025;06:00;33.261,82
18.06.2025;07:00;35.418,10
18.06.2025;08:00;41.051,60
18.06.2025;09:00;43.933,99
18.06.2025;10:00;45.365,27
18.06.2025;11:00;46.791,36
18.06.2025;12:00;45.616,54
18.06.2025;13:00;46.862,27
18.06.2025;14:00;47.752,36
18.06.2025;15:00;47.504,99
18.06.2025;16:00;47.632,95
18.06.2025;17:00;46.967,03
18.06.2025;18:00;45.877,97
18.06.2025;19:00;45.599,25
18.06.2025;20:00;46.479,41
18.06.2025;21:00;46.449,34
18.06.2025;22:00;44.164,54
18.06.2025;23:00;42.691,70
19.06.2025;00:00;40.196,33
19.06.2025;01:00;38.125,57
19.06.2025;02:00;36.496,65
19.06.2025;03:00;35.506,51
19.06.2025;04:00;34.998,90
19.06.2025;05:00;33.890,70
19.06.2025;06:00;33.570,80
19.06.2025;07:00;35.953,71
19.06.2025;08:00;41.499,98
19.06.2025;09:00;44.851,05
19.06.2025;10:00;46.614,94
19.06.2025;11:00;47.843,87
19.06.2025;12:00;46.728,05
19.06.2025;13:00;47.845,66
19.06.2025;14:00;48.917,13
19.06.2025;15:00;48.795,59
19.06.2025;16:00;48.690,36
19.06.2025;17:00;48.076,70
19.06.2025;18:00;46.792,59
19.06.2025;19:00;46.446,94
19.06.2025;20:00;47.548,52
19.06.2025;21:00;47.590,34
19.06.2025;22:00;45.643,34
19.06.2025;23:00;43.530,88
20.06.2025;00:00;40.674,59
20.06.2025;01:00;38.632,18
20.06.2025;02:00;36.999,05
20.06.2025;03:00;35.852,09
20.06.2025;04:00;35.189,63
20.06.2025;05:00;34.309,31
20.06.2025;06:00;34.031,53
20.06.2025;07:00;36.506,84
20.06.2025;08:00;41.373,21
20.06.2025;09:00;45.177,10
20.06.2025;10:00;46.677,12
20.06.2025;11:00;47.868,43
20.06.2025;12:00;46.496,52
20.06.2025;13:00;46.637,48
20.06.2025;14:00;48.909,84
20.06.2025;15:00;48.893,28
20.06.2025;16:00;48.762,12
20.06.2025;17:00;48.089,94
20.06.2025;18:00;46.828,72
20.06.2025;19:00;46.482,38
20.06.2025;20:00;47.363,70
20.06.2025;21:00;47.059,92
20.06.2025;22:00;45.365,51
20.06.2025;23:00;42.622,14
21.06.2025;00:00;40.818,74
21.06.2025;01:00;38.890,47
21.06.2025;02:00;37.310,35
21.06.2025;03:00;36.113,95
21.06.2025;04:00;35.365,57
21.06.2025;05:00;34.137,45
21.06.2025;06:00;33.776,49
21.06.2025;07:00;35.040,42
21.06.2025;08:00;39.029,89
21.06.2025;09:00;41.824,22
21.06.2025;10:00;43.595,57
21.06.2025;11:00;44.761,17
21.06.2025;12:00;44.267,69
21.06.2025;13:00;44.843,53
21.06.2025;14:00;45.606,78
21.06.2025;15:00;45.237,02
21.06.2025;16:00;44.439,42
